athleteID,TGFeventCount,athleteHomeID,athleteHomeName
7726481,23,2927,The Great Field parkrun
6251469,22,2927,The Great Field parkrun
974064,22,233,Poole parkrun
460330,22,632,Weymouth parkrun
887588,22,632,Weymouth parkrun
3452059,22,2096,Henstridge Airfield parkrun
6814045,22,233,Poole parkrun
3669997,22,263,Upton House parkrun
5307594,22,2927,The Great Field parkrun
5868412,22,632,Weymouth parkrun
3201004,22,632,Weymouth parkrun
1688127,22,632,Weymouth parkrun
405358,22,632,Weymouth parkrun
3838888,21,207,Weymouth junior parkrun
5801189,21,632,Weymouth parkrun
7311078,21,632,Weymouth parkrun
5383893,21,3013,Frogmary Green Farm parkrun
7487677,21,2927,The Great Field parkrun
3707568,21,632,Weymouth parkrun
3535922,21,632,Weymouth parkrun
7948075,21,2927,The Great Field parkrun
1249262,21,632,Weymouth parkrun
350973,20,3013,Frogmary Green Farm parkrun
5496772,20,632,Weymouth parkrun
7322911,20,2927,The Great Field parkrun
7325303,20,632,Weymouth parkrun
1645302,20,632,Weymouth parkrun
2347183,20,632,Weymouth parkrun
5794504,20,632,Weymouth parkrun
7237724,20,632,Weymouth parkrun
1296224,20,632,Weymouth parkrun
7557291,20,2927,The Great Field parkrun
1296286,20,2402,St Mary’s parkrun
2245880,20,632,Weymouth parkrun
3350853,20,632,Weymouth parkrun
8028525,20,2927,The Great Field parkrun
5891988,19,2927,The Great Field parkrun
7083984,19,2096,Henstridge Airfield parkrun
7235261,19,2927,The Great Field parkrun
6858320,19,2927,The Great Field parkrun
369170,19,2927,The Great Field parkrun
7277088,19,2927,The Great Field parkrun
1556353,19,263,Upton House parkrun
7274477,19,632,Weymouth parkrun
7419331,19,632,Weymouth parkrun
745112,19,82,Plymvalley parkrun
7263584,19,2927,The Great Field parkrun
1351374,19,140,Shepton Mallet parkrun
1763840,19,947,Blandford parkrun
5969293,19,632,Weymouth parkrun
1105880,19,632,Weymouth parkrun
4771361,19,632,Weymouth parkrun
7003015,18,3095,The Great Field junior parkrun
412405,18,3013,Frogmary Green Farm parkrun
7273023,18,2927,The Great Field parkrun
241035,18,632,Weymouth parkrun
1669671,18,95,St Albans parkrun
746610,18,632,Weymouth parkrun
4174259,18,632,Weymouth parkrun
3045791,18,632,Weymouth parkrun
2087275,18,3013,Frogmary Green Farm parkrun
244723,18,291,Abingdon parkrun
3041721,18,632,Weymouth parkrun
4820255,17,172,Bournemouth parkrun
3590151,17,344,Dulwich parkrun
6870215,17,632,Weymouth parkrun
7118841,17,632,Weymouth parkrun
4321124,17,233,Poole parkrun
1359103,17,632,Weymouth parkrun
7793247,17,2927,The Great Field parkrun
8007536,17,2927,The Great Field parkrun
10053,17,1,Bushy parkrun
7357325,17,2927,The Great Field parkrun
1457074,17,632,Weymouth parkrun
2153183,17,632,Weymouth parkrun
1940329,17,2927,The Great Field parkrun
3108789,17,632,Weymouth parkrun
763437,16,11,Basingstoke parkrun
7334379,16,2927,The Great Field parkrun
